Verdalselva-Moparken Fiskebrygge;7078565;326434;33
Namsskogan fritidsområde;7213559;698654;32
Årforsjøen flyte-/fiskebrygge;7205689;356447;33
Prestjordneset, flytebrygge;7605962;603698;33
Beisfjordbrua,flytebrygge;7590389;599605;33
Vassvik flytebrygge;7594771;599650;33
Båtberget, flytebrygge;7592149;596665;33
Herøy båthavn;7320102;376529;33
Tolkvatnet badeplass flytebrygge;7299492;462895;33
Langfarskjæret flytebrygge;7340894;388560;33
Bjørnsvågen flytebrygge;7331112;390761;33
Solfjellsjøen flytebrygge;7334385;390884;33
Nesna småbåthavn flytebrygge;7343744;410759;33
Sørnesøy båthavn flytekai;7385629;394764;33
Langnesvika flytebrygge;7507815;501512;33
Røst båthavn;7490864;375411;33
Selfjord flytebrygge;7548175;419120;33
Fredvang båthavn brygge;7553229;423466;33
Klokkervika brygge;7556355;440213;33
Knutmarka flytebrygge;7570554;481318;33
Haugsnes flytebrygge;7618827;489191;33
Øksnesvågen;7640668;498443;33
Grøtavær flytebrygge;7650993;550316;33
Djupvåg flytebrygge;7676000;623458;33
