Unike anleggstyper:
Badeplass
Båthavn/Brygge
Ulike småanlegg
Kajakkanlegg
Båthus
Roanlegg
Vannsportsanlegg
Vannskianlegg
Flytebrygge
Seilanlegg
Tidtaker/sekretariat m.m.
Nordåsvannet;6725774;-33542;33
Rolaget Noreg, båthus;6703898;262420;33
Kalandseid Flytebrygge;6687896;301337;32
Krohnegården friluftsområde Handicap brygge;6697871;296256;32
Njørd Ro- og kajakklubb båthus;6706324;296486;32
Fureviken friområde vannskibrygge;6686207;294926;32
Buavåg, småbåthamn;6646479;-45350;33
Vigdarheim, bryggeanlegg kano/kajakk;6601993;294056;32
Bømlo dykkersenter-kaianlegg;6662329;-47954;33
Dagfinnsvikjo flytebrygge;6629159;301914;32
Sætravikjo flytebrygge;6631039;297454;32
Båtsvikjo flytebrygge;6633008;299537;32
Eldøyane Moloanlegg;6629778;302464;32
Eldøyane Aktivitetshus;6629915;302540;32
Eldøyane Hamneanlegg;6629902;302524;32
Peralio båthus;6694828;-26736;33
Kvinnherad Rosenter, 500 m;6671670;-16875;33
Kvinnherad rosenter, 2000 m;6639990;318274;32
Hopp og aktivitetsanlegg for ski;6685674;350685;32
Hovden friluftsområde;6687524;30150;33
Eidfjord Småbåthavn - flytebrygger;6729511;63964;33
Ulvik vasskianlegg;6742020;90118;33
Fylkesanlegg for roing, vangsv;6751954;30968;33
Fylkesanlegg for roing, naust;6751868;30013;33
Strandebarm sjøsportsenter;6683937;334956;32
Hardangerbadet -sjøsportsenter;6697723;345783;33
Os roklubb - ulvenvatnet;6711719;-28917;33
Os roklubb - Rosportarena- båthus;6711745;-28872;33
Brygge og baneanlegg;6711772;-28876;33
Kvernavika småbåthavn;6709537;-33231;33
Kvernavika båthus;6709500;-33235;33
Ramsholmen helsesportanlegg;6672028;301352;32
Ransholmen helsesportanlegg;6672028;301322;32
Ramsholmen-Naust;6672028;301330;32
Haukanes båtlag;6699528;-40071;33
Kolbeinsvik fiske -og småbåtforening båthus;6697548;-44781;33
Kolbeinsvik fiske -og småbåtforening flytebrygge;6697548;-44781;33
Storebø båtlag flytebrygge;6701544;-42195;33
Storebø båtlag båthus;6701544;-42195;33
Austevoll seglforening båthus;6702361;-42569;33
Horgo friluftsområde- vannsportanlegg;6703517;-49013;33
Glesnes sjøsportsenter,naust;6680772;280696;32
Ran seglsportsenter - Båthamn/brygge;6736163;-43238;33
Ran seglsportsenter - Flytebrygge;6736292;-43245;33
Ran seglsportsenter - Båthus/naust;6736163;-43238;33
Sotra sportsdykkeranlegg;6732617;-50842;33
